sentence,monetary_topic
"In China, macro policies need to be adjusted for a moderate slowdown, allowing growth to settle at a sustainable level",0
"Specifically, implementing the 2010 quota and governance reforms, including their forward-looking elements, is imperative to provide the resources, credibility, and legitimacy the Fund needs to play an effective role in overseeing the IMS.",0
"Short-term demand support still has an important part to play in advanced economies, but needs greater emphasis on growth-friendly fiscal policies",0
"Like fiscal policy, the pace of financial reform to safeguard stability—such as higher capital and liquidity buffers—should be carefully calibrated to support bank lending and real growth, while avoiding unnecessary delays that can be a source of regulatory uncertainty that can deter the willingness to lend",0
"In emerging markets, wherever possible, policymakers should continue to let the exchange rate act as a buffer against shocks",0
"Nonetheless, they still remain wider than their pre-crisis levels, partly signifying the limits of central bank liquidity operations",0
"Where room exists, policy rates should be cut further, and central banks should signal that interest rates will remain low until a durable recovery is in sight",1
"6 Libor-OIS spreads have declined sharply, reflecting increased liquidity and lower credit risk",0
"Where still high inflationary pressures persist, including from supply bottlenecks (for example, Brazil, India, and Indonesia), the scope for easing the monetary stance may be very limited or it may need to be tightened",1
"In the euro area, countries with fiscal space should do more to support growth—for example, through infrastructure investment in Germany",0
"This process will benefit from continuing macroeconomic support—including, for example, through the use of tax incentives and by providing protection for vulnerable households",0
"In Japan, a commitment to fiscal consolidation centered on a pre-announced path of gradual consumption tax hikes and a strengthening of fiscal institutions would create near-term policy space to maintain growth momentum",0
Monetary and fiscal policies can be used to reduce inflows where further reserve accumulation or exchange rate appreciation are not warranted,0
Monetary policy should be the first response to spillovers from advanced economies as long as inflationary pressures remain in check,0
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0
"In Japan, the Bank of Japan should stand ready for further easing, preferably by extending purchases under its quantitative and qualitative monetary easing program to longer-maturity assets",1
Implementing the proposed adjustments to the policy mix would also contribute to more sustainable growth,0
"At the same time, policymakers can raise confidence by explaining to citizens the benefits of reform and, where necessary, providing effective support to those who disproportionately shoulder the burden of adjustment",0
